Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design",IT Carlow,N/A
1,2018/2019,(Other) EU,(0413) Management and administration,IT Carlow,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0512) Biochemistry,IT Carlow,N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Waterford IT,N/A
1,2018/2019,(Other) EU,(0714) Electronics and automation,Waterford IT,N/A
11,2018/2019,(Other) EU,"(0716) Motor vehicles, ships and aircraft",IT Carlow,N/A
1,2018/2019,(Other) EU,(0913) Nursing and midwifery,Waterford IT,N/A
1,2018/2019,(Other) EU,(0915) Therapy and rehabilitation,IT Carlow,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0731) Architecture and town planning,Waterford IT,N/A
2,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Technological University Dublin,N/A
4,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0213) Fine arts,Cork IT,N/A
1,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,University of Limerick,N/A
2,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0421) Law,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Limerick IT,N/A
1,2018/2019,(Other) EU,(0613) Software and applications development and analysis,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0912) Medicine,"National University of Ireland, Galway",N/A
14,2018/2019,(Other) EU,(0031) Personal skills and development,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0413) Management and administration,Cork IT,N/A
1,2018/2019,(Other) EU,(0416) Wholesale and retail sales,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0421) Law,Waterford IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Cork IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Waterford IT,N/A
2,2018/2019,(Other) EU,(0531) Chemistry,Cork IT,N/A
1,2018/2019,(Other) EU,(0611) Computer use,Cork IT,N/A
1,2018/2019,(Other) EU,(0613) Software and applications development and analysis,University of Limerick,N/A
1,2018/2019,(Other) EU,(0914) Medical diagnostic and treatment technology,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(1014) Sports,Waterford IT,N/A
1,2018/2019,(Other) EU,(0031) Personal skills and development,Letterkenny IT,N/A
3,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,Letterkenny IT,N/A
1,2018/2019,(Other) EU,"(1013) Hotel, restaurants and catering",Letterkenny IT,N/A
7,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0021) Literacy and numeracy,Technological University Dublin,N/A
6,2018/2019,(Other) EU,(0031) Personal skills and development,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Technological University Dublin,N/A
1,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design","Dun Laoghaire Institute of Art, Design and Technology",N/A
1,2018/2019,(Other) EU,(0213) Fine arts,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0215) Music and performing arts,Technological University Dublin,N/A
4,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0231) Language acquisition,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0313) Psychology,"National University of Ireland, Galway",N/A
9,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0413) Management and administration,IT Carlow,N/A
3,2018/2019,(Other) EU,(0413) Management and administration,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0414) Marketing and advertising,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0417) Work skills,Waterford IT,N/A
2,2018/2019,(Other) EU,(0421) Law,"National University of Ireland, Galway",N/A
4,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
10,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0531) Chemistry,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0533) Physics,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Limerick IT,N/A
5,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0611) Computer use,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0613) Software and applications development and analysis,University of Limerick,N/A
2,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,Waterford IT,N/A
1,2018/2019,(Other) EU,(0711) Chemical engineering and processes,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0712) Environmental protection technology,Athlone IT,N/A
1,2018/2019,(Other) EU,(0713) Electricity and energy,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0714) Electronics and automation,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0715) Mechanics and metal trades,Technological University Dublin,N/A
1,2018/2019,(Other) EU,"(0716) Motor vehicles, ships and aircraft",IT Carlow,N/A
1,2018/2019,(Other) EU,"(0716) Motor vehicles, ships and aircraft",University of Limerick,N/A
1,2018/2019,(Other) EU,(0720) Manufacturing and processing not further defined or elsewhere classified,Technological University Dublin,N/A
3,2018/2019,(Other) EU,(0721) Food processing,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0730) Architecture and construction not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0731) Architecture and town planning,IT Sligo,N/A
1,2018/2019,(Other) EU,(0812) Horticulture,Waterford IT,N/A
1,2018/2019,(Other) EU,(0821) Forestry,Waterford IT,N/A
2,2018/2019,(Other) EU,(0912) Medicine,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0913) Nursing and midwifery,Waterford IT,N/A
1,2018/2019,(Other) EU,(0915) Therapy and rehabilitation,University of Limerick,N/A
1,2018/2019,(Other) EU,(1014) Sports,Waterford IT,N/A
1,2018/2019,(Other) EU,"(1015) Travel, tourism and leisure",Technological University Dublin,N/A
1,2018/2019,(Other) EU,(1022) Occupational health and safety,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Technological University Dublin,N/A
7,2018/2019,(Other) EU,(0031) Personal skills and development,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0114) Teacher training with subject specialization,"National University of Ireland, Galway",N/A
18,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design",Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0222) History and archaeology,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0231) Language acquisition,"National University of Ireland, Galway",N/A
7,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0311) Economics,"National University of Ireland, Galway",N/A
4,2018/2019,(Other) EU,(0313) Psychology,"National University of Ireland, Galway",N/A
6,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0413) Management and administration,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0413) Management and administration,Technological University Dublin,N/A
5,2018/2019,(Other) EU,(0421) Law,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Galway-Mayo IT,N/A
19,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0511) Biology,Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0521) Environmental sciences,Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0530) Physical sciences not further defined or elsewhere classified,Galway-Mayo IT,N/A
3,2018/2019,(Other) EU,(0532) Earth sciences,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0541) Mathematics,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0612) Database and network design and administration,Galway-Mayo IT,N/A
2,2018/2019,(Other) EU,(0613) Software and applications development and analysis,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0613) Software and applications development and analysis,University of Limerick,N/A
17,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0711) Chemical engineering and processes,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0713) Electricity and energy,Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0715) Mechanics and metal trades,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0912) Medicine,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0913) Nursing and midwifery,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0915) Therapy and rehabilitation,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,"(1015) Travel, tourism and leisure",Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0312) Political sciences and civics,University of Limerick,N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0421) Law,Waterford IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0532) Earth sciences,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0714) Electronics and automation,IT Tralee,N/A
1,2018/2019,(Other) EU,(1014) Sports,Galway-Mayo IT,N/A
2,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0114) Teacher training with subject specialization,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design",IT Carlow,N/A
2,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0613) Software and applications development and analysis,Waterford IT,N/A
1,2018/2019,(Other) EU,(0731) Architecture and town planning,Waterford IT,N/A
1,2018/2019,(Other) EU,(0923) Social work and counselling,IT Carlow,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,Waterford IT,N/A
2,2018/2019,(Other) EU,(0213) Fine arts,Waterford IT,N/A
1,2018/2019,(Other) EU,(0411) Accounting and taxation,Waterford IT,N/A
3,2018/2019,(Other) EU,(0413) Management and administration,Waterford IT,N/A
1,2018/2019,(Other) EU,(0414) Marketing and advertising,Waterford IT,N/A
1,2018/2019,(Other) EU,(0417) Work skills,IT Carlow,N/A
2,2018/2019,(Other) EU,(0421) Law,Waterford IT,N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,IT Carlow,N/A
3,2018/2019,(Other) EU,(0613) Software and applications development and analysis,Waterford IT,N/A
2,2018/2019,(Other) EU,(0714) Electronics and automation,Waterford IT,N/A
1,2018/2019,(Other) EU,(0913) Nursing and midwifery,Waterford IT,N/A
1,2018/2019,(Other) EU,(0922) Child care and youth services,Waterford IT,N/A
1,2018/2019,(Other) EU,"(1013) Hotel, restaurants and catering",Waterford IT,N/A
1,2018/2019,(Other) EU,(1014) Sports,Waterford IT,N/A
1,2018/2019,(Other) EU,"(1015) Travel, tourism and leisure",Waterford IT,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0313) Psychology,Waterford IT,N/A
1,2018/2019,(Other) EU,(0421) Law,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0714) Electronics and automation,IT Carlow,N/A
1,2018/2019,(Other) EU,(0730) Architecture and construction not further defined or elsewhere classified,IT Carlow,N/A
1,2018/2019,(Other) EU,(0913) Nursing and midwifery,Waterford IT,N/A
1,2018/2019,(Other) EU,(0923) Social work and counselling,Waterford IT,N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0721) Food processing,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0913) Nursing and midwifery,"St. Angela's College of Home Economics, Sligo",N/A
2,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,University of Limerick,N/A
1,2018/2019,(Other) EU,(0112) Training for pre-school teachers,"Mary Immaculate College, Limerick",N/A
4,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"Mary Immaculate College, Limerick",N/A
1,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Limerick IT,N/A
1,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0232) Literature and linguistics,"Mary Immaculate College, Limerick",N/A
1,2018/2019,(Other) EU,(0312) Political sciences and civics,University of Limerick,N/A
2,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,University of Limerick,N/A
2,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0520) Environment not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0521) Environmental sciences,Limerick IT,N/A
1,2018/2019,(Other) EU,(0540) Mathematics and statistics not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0710) Engineering and engineering trades not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,"(0716) Motor vehicles, ships and aircraft",Limerick IT,N/A
1,2018/2019,(Other) EU,(0912) Medicine,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0912) Medicine,University of Limerick,N/A
1,2018/2019,(Other) EU,(0913) Nursing and midwifery,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Athlone IT,N/A
1,2018/2019,(Other) EU,(0521) Environmental sciences,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0730) Architecture and construction not further defined or elsewhere classified,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0222) History and archaeology,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0410) Business and administration not further defined or elsewhere classified,Galway-Mayo IT,N/A
4,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0611) Computer use,Galway-Mayo IT,N/A
2,2018/2019,(Other) EU,(0613) Software and applications development and analysis,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0711) Chemical engineering and processes,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(1014) Sports,Galway-Mayo IT,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0416) Wholesale and retail sales,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0541) Mathematics,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0715) Mechanics and metal trades,Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0812) Horticulture,Waterford IT,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0421) Law,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0510) Biological and related sciences not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0915) Therapy and rehabilitation,"National University of Ireland, Galway",N/A
4,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Cork IT,N/A
5,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,"Mary Immaculate College, Limerick",N/A
10,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,Trinity College Dublin,N/A
1,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,University College Dublin,N/A
66,2018/2019,(Other) EU,(0011) Basic programmes and qualifications,University of Limerick,N/A
2,2018/2019,(Other) EU,(0021) Literacy and numeracy,Technological University Dublin,N/A
23,2018/2019,(Other) EU,(0031) Personal skills and development,Dublin City University,N/A
1,2018/2019,(Other) EU,(0031) Personal skills and development,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0031) Personal skills and development,Technological University Dublin,N/A
5,2018/2019,(Other) EU,(0031) Personal skills and development,Trinity College Dublin,N/A
11,2018/2019,(Other) EU,(0110) Education not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
5,2018/2019,(Other) EU,(0111) Education science,Cork IT,N/A
5,2018/2019,(Other) EU,(0111) Education science,Dublin City University,N/A
1,2018/2019,(Other) EU,(0111) Education science,Maynooth University,N/A
1,2018/2019,(Other) EU,(0111) Education science,"National University of Ireland, Galway",N/A
6,2018/2019,(Other) EU,(0111) Education science,Trinity College Dublin,N/A
2,2018/2019,(Other) EU,(0111) Education science,University College Cork,N/A
2,2018/2019,(Other) EU,(0111) Education science,University College Dublin,N/A
2,2018/2019,(Other) EU,(0112) Training for pre-school teachers,Dublin City University,N/A
2,2018/2019,(Other) EU,(0112) Training for pre-school teachers,"National University of Ireland, Galway",N/A
1,2018/2019,(Other) EU,(0113) Teacher training without subject specialization,Dublin City University,N/A
1,2018/2019,(Other) EU,(0114) Teacher training with subject specialization,Limerick IT,N/A
4,2018/2019,(Other) EU,(0114) Teacher training with subject specialization,National College of Art and Design,N/A
1,2018/2019,(Other) EU,(0114) Teacher training with subject specialization,"National University of Ireland, Galway",N/A
6,2018/2019,(Other) EU,(0114) Teacher training with subject specialization,Trinity College Dublin,N/A
6,2018/2019,(Other) EU,(0114) Teacher training with subject specialization,University of Limerick,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,Dublin City University,N/A
1,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,Letterkenny IT,N/A
5,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"Mary Immaculate College, Limerick",N/A
12,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,Maynooth University,N/A
2,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,National College of Art and Design,N/A
25,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,Technological University Dublin,N/A
54,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,Trinity College Dublin,N/A
42,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,University College Cork,N/A
38,2018/2019,(Other) EU,(0210) Arts not further defined or elsewhere classified,University College Dublin,N/A
1,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Dublin City University,N/A
4,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,"Dun Laoghaire Institute of Art, Design and Technology",N/A
1,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Letterkenny IT,N/A
1,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,"Mary Immaculate College, Limerick",N/A
3,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Maynooth University,N/A
6,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,National College of Art and Design,N/A
2,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,"National University of Ireland, Galway",N/A
8,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Technological University Dublin,N/A
5,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,Trinity College Dublin,N/A
8,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,University College Cork,N/A
3,2018/2019,(Other) EU,(0211) Audio-visual techniques and media production,University of Limerick,N/A
9,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design",National College of Art and Design,N/A
4,2018/2019,(Other) EU,"(0212) Fashion, interior and industrial design",Technological University Dublin,N/A
1,2018/2019,(Other) EU,(0213) Fine arts,"Dun Laoghaire Institute of Art, Design and Technology",N/A
9,2018/2019,(Other) EU,(0213) Fine arts,National College of Art and Design,N/A
1,2018/2019,(Other) EU,(0213) Fine arts,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0213) Fine arts,Technological University Dublin,N/A
2,2018/2019,(Other) EU,(0213) Fine arts,Trinity College Dublin,N/A
2,2018/2019,(Other) EU,(0213) Fine arts,University College Dublin,N/A
1,2018/2019,(Other) EU,(0214) Handicrafts,Maynooth University,N/A
1,2018/2019,(Other) EU,(0215) Music and performing arts,Cork IT,N/A
11,2018/2019,(Other) EU,(0215) Music and performing arts,Dublin City University,N/A
1,2018/2019,(Other) EU,(0215) Music and performing arts,Maynooth University,N/A
5,2018/2019,(Other) EU,(0215) Music and performing arts,"National University of Ireland, Galway",N/A
46,2018/2019,(Other) EU,(0215) Music and performing arts,Technological University Dublin,N/A
26,2018/2019,(Other) EU,(0215) Music and performing arts,Trinity College Dublin,N/A
4,2018/2019,(Other) EU,(0215) Music and performing arts,University College Cork,N/A
3,2018/2019,(Other) EU,(0215) Music and performing arts,University College Dublin,N/A
10,2018/2019,(Other) EU,(0215) Music and performing arts,University of Limerick,N/A
10,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,Dublin City University,N/A
4,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,Technological University Dublin,N/A
14,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,Trinity College Dublin,N/A
2,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,University College Cork,N/A
1,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,University College Dublin,N/A
9,2018/2019,(Other) EU,(0220) Humanities (except languages) not further defined or elsewhere classified,University of Limerick,N/A
1,2018/2019,(Other) EU,(0221) Religion and theology,"Mary Immaculate College, Limerick",N/A
6,2018/2019,(Other) EU,(0221) Religion and theology,Trinity College Dublin,N/A
1,2018/2019,(Other) EU,(0221) Religion and theology,Waterford IT,N/A
5,2018/2019,(Other) EU,(0222) History and archaeology,Maynooth University,N/A
4,2018/2019,(Other) EU,(0222) History and archaeology,"National University of Ireland, Galway",N/A
30,2018/2019,(Other) EU,(0222) History and archaeology,Trinity College Dublin,N/A
4,2018/2019,(Other) EU,(0222) History and archaeology,University College Cork,N/A
26,2018/2019,(Other) EU,(0222) History and archaeology,University College Dublin,N/A
1,2018/2019,(Other) EU,(0222) History and archaeology,University of Limerick,N/A
1,2018/2019,(Other) EU,(0223) Philosophy and ethics,Maynooth University,N/A
7,2018/2019,(Other) EU,(0223) Philosophy and ethics,Trinity College Dublin,N/A
6,2018/2019,(Other) EU,(0223) Philosophy and ethics,University College Dublin,N/A
3,2018/2019,(Other) EU,(0230) Languages not further defined or elsewhere classified,Maynooth University,N/A
3,2018/2019,(Other) EU,(0230) Languages not further defined or elsewhere classified,"National University of Ireland, Galway",N/A
2,2018/2019,(Other) EU,(0230) Languages not further defined or elsewhere classified,University College Cork,N/A
13,2018/2019,(Other) EU,(0231) Language acquisition,Dublin City University,N/A
5,2018/2019,(Other) EU,(0231) Language acquisition,Maynooth University,N/A
1,2018/2019,(Other) EU,(0231) Language acquisition,"National University of Ireland, Galway",N/A
3,2018/2019,(Other) EU,(0231) Language acquisition,Technological University Dublin,N/A
10,2018/2019,(Other) EU,(0231) Language acquisition,Trinity College Dublin,N/A
16,2018/2019,(Other) EU,(0231) Language acquisition,University College Cork,N/A
4,2018/2019,(Other) EU,(0231) Language acquisition,University College Dublin,N/A
3,2018/2019,(Other) EU,(0231) Language acquisition,University of Limerick,N/A
3,2018/2019,(Other) EU,(0232) Literature and linguistics,"Mary Immaculate College, Limerick",N/A
1,2018/2019,(Other) EU,(0232) Literature and linguistics,"National University of Ireland, Galway",N/A
22,2018/2019,(Other) EU,(0232) Literature and linguistics,Trinity College Dublin,N/A
4,2018/2019,(Other) EU,(0232) Literature and linguistics,University College Cork,N/A
18,2018/2019,(Other) EU,(0232) Literature and linguistics,University College Dublin,N/A
2,2018/2019,(Other) EU,(0232) Literature and linguistics,University of Limerick,N/A
5,2018/2019,(Other) EU,(0288) Interdisciplinary programmes and qualifications involving arts and humanities,Maynooth University,N/A
3,2018/2019,(Other) EU,(0310) Social and behavioural sciences not further defined or elsewhere classified,Maynooth University,N/A
